key,de,english,french,ukrainian,italian,swedish,turkish,russian
invoiceTransfer1,Bitte überweisen Sie den ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTransfer2,monatlichen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTransfer4,immer zum 1. des Monats ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTransfer5,bis zum ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTransfer6,auf das folgende Konto,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceAccountOwner,Kontoinhaber,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePurposeOfUse,Verwendungszweck,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTransfer3,Rechnungsbetrag unter Angabe der Rechnungsnummer ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethod1,Bar,OK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethod2,EC,GERMAN_FALLBACK,OK,GERMAN_FALLBACK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethod3,Vorkasse,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethod5,Kulanz,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceYou,Sie,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceYourChild,Ihr Kind,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTaxFreeNote,* Steuerfrei nach §4 Nr. 14 UStG,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceQRCodeHint,Der QR-Code ist aus Datenschutzgründen nur im WLAN der Praxis wirksam.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethod4,Überweisung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethod6,Raten,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
rate,Raten,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
panelRateCount,Ratenanzahl,MISSING,MISSING,OK,MISSING,MISSING,MISSING,MISSING
invoiceRatePriceMonthly,Ratenbetrag monatlich,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceHint,Hinweis,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceRateHint,"Wir möchten Sie darauf aufmerksam machen, dass wir bei einem nicht termingerechten Zahlungseingang der Rate die Möglichkeit haben, den verbleibenden Restbetrag in einer Summe einzufordern.",OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceFinalPriceWithMwst,Endbetrag inkl. Mwst,OK,MISSING,OK,MISSING,MISSING,MISSING,MISSING
invoiceCoupon,Gutschein,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceSalesTaxNumber,Umsatzsteuernummer,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceSelect0, ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTotalPriceWithoutMwst,Gesamtpreis exkl. Mwst,OK,MISSING,OK,MISSING,MISSING,MISSING,MISSING
invoiceMwst19Procent,Mwst 19 %:,OK,MISSING,OK,MISSING,MISSING,MISSING,MISSING
invoiceSelect3, ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
selectMan,Herr,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
selectWoman,Frau,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
selectDivers,Divers,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
tabHint,Hinweis,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
hinttext,Der Patient ist noch keine 18 Jahre alt ! Eine Rechnung ist aus rechtlichen Gründen problematisch ! Bitte die Eltern stattdessen auswählen !,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
inputLegalRepresentative,Angabe der gesetzlichen Vertreter,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
selectAdress,Bitte Adresse auswählen : ,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
takeDataInvoice,Rechnung übernehmen,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
editLawHint,rechtlichen Hinweis anpassen,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
removeLawHint,rechtlichen Hinweis löschen,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
questionRemoveLawHint,  Rechtlichen Hinweis wirklich löschen ?,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
newLawHint,neuen rechtlichen Hinweis,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
